SH1261925.09FU,69,8172,106,34,0,18,0,135,1425,18,0,0,53,1,0,26,0,304,202,1,0,6,35,386,0,0,0,390,8,0,16,0,0,5,1,1,17,13,289,8,4,0,144,7,3,412,0,1797,246,27,71,0,9,0,7,0,5,276,0,37,0,85,0,17,0,5,235,7,52,0,424,52,20,48,49,0,2,37,105,0,0,0,24,0,0,114,0,0,2,19,0,1,0,295,2,6,7,0,11,0,0,0,0,3,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,100%|Lactifluus_clarkeae|UDB02631443|SH1261925.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_clarkeae
SH0908945.09FU,110,8162,72,352,254,22,25,62,341,32,19,5,15,133,50,153,55,116,58,2,7,7,14,109,69,15,7,10,548,3,11,20,4,14,469,73,9,106,91,3,164,7,53,14,5,50,13,3,25,43,27,11,252,9,17,110,48,123,5,21,10,23,68,105,282,5,379,2,5,0,25,110,0,15,9,126,12,2,60,4,12,119,4,3,6,333,68,338,41,58,7,4,1413,7,2,14,30,11,5,59,1,3,2,6,5,0,2,1,1,1,0,1,0,3,1,3,0,0,0,0,0,1,0,0,0,0,100%|Umbelopsis_sp|JN206381|SH0908945.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH0911831.09FU,80,7836,0,73,19,272,1,15,0,4,1,0,43,29,0,32,0,10,3,2,0,1,129,0,1,57,42,0,6,2,3,0,0,5,35,7,1,22,7,579,12,0,7,3,5,1,3,1,60,6,4,16,287,3,5,5,98,1,0,20,0,1969,1,1005,0,53,15,30,11,5,88,66,4,20,75,45,0,8,29,0,0,4,25,0,0,164,2,50,2101,8,0,12,23,0,2,6,57,1,0,11,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|UDB06936345|SH0911831.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1188092.09FU,70,7800,0,0,235,1795,415,61,19,5,0,0,345,294,0,0,982,0,176,11,11,12,154,7,0,88,0,1,7,50,22,28,491,1,0,0,5,2,0,328,751,4,64,21,10,0,0,0,8,0,43,0,0,0,33,0,8,0,0,10,10,0,16,4,41,0,205,2,2,0,7,9,0,26,57,0,2,118,7,0,129,341,9,247,15,3,0,2,0,8,0,7,0,0,0,4,0,16,0,0,1,0,0,2,0,1,0,1,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,100%|Piloderma_sp|UDB04648469|SH1188092.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales;f__Pilodermataceae;g__Piloderma;s__Piloderma_sp
SH1126152.09FU,63,7632,4,12,0,7,0,0,1,48,0,0,0,0,0,0,0,13,4,6,0,6,3,6,0,17,0,0,0,206,183,3,0,26,0,0,5,1,0,0,3,0,2,689,700,0,13,0,91,0,0,1,153,13,4,4,789,0,0,1277,1,0,1,525,1,11,0,0,24,794,114,109,14,995,2,0,0,7,26,0,0,2,0,0,1,55,0,4,129,5,0,109,115,0,165,22,33,0,12,59,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100%|Mycena_sp|UDB05004671|SH1126152.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sp
SH1204510.09FU,61,7237,0,11,1,0,0,2,0,21,0,1,0,0,0,0,4,0,0,0,0,10,0,0,0,0,11,0,33,22,7,0,286,3,0,0,0,0,0,1,0,0,1,21,1,62,0,1062,12,4,0,0,0,2198,0,0,26,0,0,52,6,0,0,34,9,0,0,0,452,243,56,4,2023,32,3,0,0,0,3,0,2,0,1,5,0,1,3,25,11,4,93,38,10,22,10,70,2,11,59,3,21,0,0,0,7,8,0,4,0,0,42,0,0,0,29,0,0,21,0,0,18,0,0,0,0,0,100%|Coprinus_subdomesticus|HQ847038|SH1204510.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__Coprinus_subdomesticus
SH1216921.09FU,55,6190,0,0,0,103,0,576,7,284,0,0,467,16,0,0,1,0,87,0,7,174,0,29,0,0,0,0,0,0,1189,55,4,103,0,0,62,0,0,4,0,0,152,328,464,0,2,0,828,0,401,0,0,0,47,0,9,0,0,49,45,0,1,3,0,0,0,3,17,0,208,6,5,35,8,0,13,243,13,0,0,0,16,0,1,4,0,0,1,7,0,0,0,0,19,54,0,7,0,1,17,0,0,2,3,5,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100%|Phanerochaete_guangdongensis|MZ422813|SH1216921.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete;s__Phanerochaete_guangdongensis
SH1214387.09FU,28,5951,0,0,2449,5,0,16,0,4,3,0,14,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,6,24,0,4,0,0,0,0,0,0,0,3261,30,0,3,0,0,0,0,0,16,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,34,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,100%|Cortinarius_sp|MG553078|SH1214387.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp
SH0898171.09FU,69,5342,40,0,15,7,44,18,53,24,14,11,9,1,3,0,1403,4,21,70,151,315,16,18,6,0,2,974,0,1,40,10,30,6,0,0,315,2,2,0,4,23,17,6,3,0,0,0,2,0,6,0,0,0,13,0,1,0,11,47,269,0,0,0,0,0,13,7,3,0,1,192,0,141,5,0,43,18,100,172,225,0,3,1,1,94,0,0,0,123,107,1,0,0,0,6,29,18,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|UDB06946981|SH0898171.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1238898.09FU,45,4950,0,0,0,0,0,1,0,3,0,0,1,4,0,5,19,0,3,1,0,0,0,0,1,0,0,1,0,0,8,25,18,8,0,0,0,0,0,0,0,0,4,4,4,0,0,4615,4,0,0,0,3,0,29,0,4,0,0,13,0,0,0,3,0,0,0,0,3,6,8,2,1,11,2,0,0,1,21,0,11,0,0,0,1,0,33,1,1,9,22,1,0,0,0,1,2,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Sphaerobolus_sp|AY627799|SH1238898.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Sphaerobolaceae;g__Sphaerobolus;s__Sphaerobolus_sp
